iShares Core S&P Mid-Cap ETF
Fund Holdings as of,"Feb 23, 2024"
Inception Date,"May 22, 2000"
Shares Outstanding,"1,394,600,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Type,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"BRBR","BELLRING BRANDS INC","EQUITY","Consumer Staples","Equity","220,879,742.14","0.28","220,879,742.14","4,011,619.00","55.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FR","FIRST INDUSTRIAL REALTY TRUST INC","EQUITY","Real Estate","Equity","219,082,345.92","0.28","219,082,345.92","4,036,896.00","54.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CROX","CROCS INC","EQUITY","Consumer Discretionary","Equity","218,687,871.61","0.27","218,687,871.61","1,848,431.00","118.31","United States","NASDAQ","USD","1.00","USD","-"
"VOYA","VOYA FINANCIAL INC","EQUITY","Financials","Equity","217,597,721.25","0.27","217,597,721.25","3,188,245.00","68.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NYT","NEW YORK TIMES CLASS A","EQUITY","Communication","Equity","217,476,549.55","0.27","217,476,549.55","4,993,721.00","43.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AR","ANTERO RESOURCES CORP","EQUITY","Energy","Equity","217,360,166.22","0.27","217,360,166.22","8,621,982.00","25.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OSK","OSHKOSH CORP","EQUITY","Industrials","Equity","217,327,668.56","0.27","217,327,668.56","1,996,396.00","108.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AXTA","AXALTA COATING SYSTEMS LTD","EQUITY","Materials","Equity","216,548,116.72","0.27","216,548,116.72","6,716,753.00","32.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JEF","JEFFERIES FINANCIAL GROUP INC","EQUITY","Financials","Equity","216,193,069.44","0.27","216,193,069.44","5,137,668.00","42.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HRB","H&R BLOCK INC","EQUITY","Consumer Discretionary","Equity","215,765,789.12","0.27","215,765,789.12","4,392,626.00","49.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BERY","BERRY GLOBAL GROUP INC","EQUITY","Materials","Equity","215,357,164.00","0.27","215,357,164.00","3,604,304.00","59.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HQY","HEALTHEQUITY INC","EQUITY","Health Care","Equity","214,889,767.71","0.27","214,889,767.71","2,613,277.00","82.23","United States","NASDAQ","USD","1.00","USD","-"
"LSTR","LANDSTAR SYSTEM INC","EQUITY","Industrials","Equity","214,122,999.72","0.27","214,122,999.72","1,097,054.00","195.18","United States","NASDAQ","USD","1.00","USD","-"
"RGLD","ROYAL GOLD INC","EQUITY","Materials","Equity","214,037,465.72","0.27","214,037,465.72","2,004,847.00","106.76","United States","NASDAQ","USD","1.00","USD","-"
"STAG","STAG INDUSTRIAL REIT INC","EQUITY","Real Estate","Equity","212,290,497.66","0.27","212,290,497.66","5,541,386.00","38.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MAT","MATTEL INC","EQUITY","Consumer Discretionary","Equity","211,618,152.72","0.27","211,618,152.72","10,780,344.00","19.63","United States","NASDAQ","USD","1.00","USD","-"
"UFPI","UFP INDUSTRIES INC","EQUITY","Industrials","Equity","211,040,293.86","0.27","211,040,293.86","1,886,478.00","111.87","United States","NASDAQ","USD","1.00","USD","-"
"EQH","EQUITABLE HOLDINGS INC","SWAP","Financials","Equity","211,035,360.24","0.27","211,035,360.24","6,085,218.00","34.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CFR","CULLEN FROST BANKERS INC","EQUITY","Financials","Equity","209,830,496.65","0.26","209,830,496.65","1,954,639.00","107.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BRX","BRIXMOR PROPERTY GROUP REIT INC","EQUITY","Real Estate","Equity","208,890,090.09","0.26","208,890,090.09","9,173,917.00","22.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CGNX","COGNEX CORP","EQUITY","Information Technology","Equity","207,831,862.16","0.26","207,831,862.16","5,253,586.00","39.56","United States","NASDAQ","USD","1.00","USD","-"
"HLI","HOULIHAN LOKEY INC CLASS A","EQUITY","Financials","Equity","207,688,537.80","0.26","207,688,537.80","1,575,188.00","131.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NOV","NOV INC","EQUITY","Energy","Equity","207,143,712.10","0.26","207,143,712.10","12,022,270.00","17.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DAR","DARLING INGREDIENTS INC","EQUITY","Consumer Staples","Equity","206,044,865.20","0.26","206,044,865.20","4,868,735.00","42.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SEIC","SEI INVESTMENTS","EQUITY","Financials","Equity","205,376,683.77","0.26","205,376,683.77","3,052,113.00","67.29","United States","NASDAQ","USD","1.00","USD","-"
"MTDR","MATADOR RESOURCES","EQUITY","Energy","Equity","205,317,150.72","0.26","205,317,150.72","3,381,376.00","60.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AGCO","AGCO CORP","EQUITY","Industrials","Equity","205,288,391.17","0.26","205,288,391.17","1,896,779.00","108.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OGE","OGE ENERGY CORP","EQUITY","Utilities","Equity","204,648,274.44","0.26","204,648,274.44","6,112,553.00","33.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EXEL","EXELIXIS INC","EQUITY","Health Care","Equity","204,333,694.50","0.26","204,333,694.50","9,490,650.00","21.53","United States","NASDAQ","USD","1.00","USD","-"
"MSA","MSA SAFETY INC","EQUITY","Industrials","Equity","203,038,309.60","0.25","203,038,309.60","1,127,740.00","180.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"H","HYATT HOTELS CORP CLASS A","EQUITY","Consumer Discretionary","Equity","202,667,329.62","0.25","202,667,329.62","1,349,586.00","150.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"THO","THOR INDUSTRIES INC","EQUITY","Consumer Discretionary","Equity","202,124,330.70","0.25","202,124,330.70","1,625,970.00","124.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WH","WYNDHAM HOTELS RESORTS INC","EQUITY","Consumer Discretionary","Equity","201,264,149.07","0.25","201,264,149.07","2,531,943.00","79.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CHRD","CHORD ENERGY CORP","EQUITY","Energy","Equity","201,224,180.21","0.25","201,224,180.21","1,259,777.00","159.73","United States","NASDAQ","USD","1.00","USD","-"
"VNT","VONTIER CORP","EQUITY","Information Technology","Equity","200,738,069.00","0.25","200,738,069.00","4,709,950.00","42.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GMED","GLOBUS MEDICAL INC CLASS A","EQUITY","Health Care","Equity","198,184,255.88","0.25","198,184,255.88","3,520,772.00","56.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OLN","OLIN CORP","EQUITY","Materials","Equity","196,691,859.00","0.25","196,691,859.00","3,740,100.00","52.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMC","COMMERCIAL METALS","EQUITY","Materials","Equity","195,123,911.73","0.25","195,123,911.73","3,567,817.00","54.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WCC","WESCO INTERNATIONAL INC","EQUITY","Industrials","Equity","195,022,777.56","0.24","195,022,777.56","1,340,547.00","145.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PNFP","PINNACLE FINANCIAL PARTNERS INC","EQUITY","Financials","Equity","194,991,034.38","0.24","194,991,034.38","2,343,079.00","83.22","United States","NASDAQ","USD","1.00","USD","-"
"EVR","EVERCORE INC CLASS A","EQUITY","Financials","Equity","193,585,964.89","0.24","193,585,964.89","1,057,789.00","183.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GXO","GXO LOGISTICS INC","EQUITY","Industrials","Equity","193,537,583.58","0.24","193,537,583.58","3,630,418.00","53.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ARW","ARROW ELECTRONICS INC","EQUITY","Information Technology","Equity","193,120,980.28","0.24","193,120,980.28","1,652,867.00","116.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FLR","FLUOR CORP","EQUITY","Industrials","Equity","192,492,597.84","0.24","192,492,597.84","5,199,692.00","37.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SSB","SOUTHSTATE CORP","EQUITY","Financials","Equity","191,726,738.52","0.24","191,726,738.52","2,321,428.00","82.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PR","PERMIAN RESOURCES CORP CLASS A","EQUITY","Energy","Equity","190,928,303.30","0.24","190,928,303.30","12,686,266.00","15.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SIGI","SELECTIVE INSURANCE GROUP INC","EQUITY","Financials","Equity","190,047,003.48","0.24","190,047,003.48","1,849,066.00","102.78","United States","NASDAQ","USD","1.00","USD","-"
"HXL","HEXCEL CORP","EQUITY","Industrials","Equity","189,264,025.24","0.24","189,264,025.24","2,566,988.00","73.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CBSH","COMMERCE BANCSHARES INC","EQUITY","Financials","Equity","189,165,012.54","0.24","189,165,012.54","3,641,991.00","51.94","United States","NASDAQ","USD","1.00","USD","-"
"DBX","DROPBOX INC CLASS A","EQUITY","Information Technology","Equity","187,642,320.00","0.24","187,642,320.00","7,818,430.00","24.00","United States","NASDAQ","USD","1.00","USD","-"
"TMHC","TAYLOR MORRISON HOME CORP","EQUITY","Consumer Discretionary","Equity","185,213,226.08","0.23","185,213,226.08","3,279,271.00","56.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"G","GENPACT LTD","EQUITY","Industrials","Equity","184,898,514.90","0.23","184,898,514.90","5,093,623.00","36.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SFM","SPROUTS FARMERS MARKET INC","EQUITY","Consumer Staples","Equity","184,824,616.12","0.23","184,824,616.12","3,099,524.00","59.63","United States","NASDAQ","USD","1.00","USD","-"
"BC","BRUNSWICK CORP","EQUITY","Consumer Discretionary","Equity","184,114,627.29","0.23","184,114,627.29","2,100,087.00","87.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RMBS","RAMBUS INC","EQUITY","Information Technology","Equity","183,871,891.32","0.23","183,871,891.32","3,281,083.00","56.04","United States","NASDAQ","USD","1.00","USD","-"
"QLYS","QUALYS INC","EQUITY","Information Technology","Equity","183,516,653.04","0.23","183,516,653.04","1,122,632.00","163.47","United States","NASDAQ","USD","1.00","USD","-"
"LFUS","LITTELFUSE INC","EQUITY","Information Technology","Equity","183,452,949.79","0.23","183,452,949.79","759,671.00","241.49","United States","NASDAQ","USD","1.00","USD","-"
"WTFC","WINTRUST FINANCIAL CORP","EQUITY","Financials","Equity","182,041,635.60","0.23","182,041,635.60","1,867,860.00","97.46","United States","NASDAQ","USD","1.00","USD","-"
"CHX","CHAMPIONX CORP","EQUITY","Energy","Equity","181,979,357.95","0.23","181,979,357.95","5,945,095.00","30.61","United States","NASDAQ","USD","1.00","USD","-"
"CR","CRANE","EQUITY","Industrials","Equity","181,737,698.23","0.23","181,737,698.23","1,490,753.00","121.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SNX","TD SYNNEX CORP","EQUITY","Information Technology","Equity","181,245,005.13","0.23","181,245,005.13","1,757,783.00","103.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FAF","FIRST AMERICAN FINANCIAL CORP","EQUITY","Financials","Equity","181,129,099.52","0.23","181,129,099.52","3,148,976.00","57.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"STWD","STARWOOD PROPERTY TRUST REIT INC","EQUITY","Financials","Equity","180,446,821.90","0.23","180,446,821.90","9,081,370.00","19.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PB","PROSPERITY BANCSHARES INC","EQUITY","Financials","Equity","180,152,458.09","0.23","180,152,458.09","2,859,109.00","63.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RLI","RLI CORP","EQUITY","Financials","Equity","179,666,681.80","0.23","179,666,681.80","1,225,390.00","146.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MASI","MASIMO CORP","EQUITY","Health Care","Equity","179,098,805.34","0.22","179,098,805.34","1,354,654.00","132.21","United States","NASDAQ","USD","1.00","USD","-"
"ADC","AGREE REALTY REIT CORP","EQUITY","Real Estate","Equity","176,428,545.39","0.22","176,428,545.39","3,067,789.00","57.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MUR","MURPHY OIL CORP","EQUITY","Energy","Equity","176,415,323.37","0.22","176,415,323.37","4,478,683.00","39.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VVV","VALVOLINE INC","EQUITY","Consumer Discretionary","Equity","176,341,397.85","0.22","176,341,397.85","4,231,855.00","41.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OPCH","OPTION CARE HEALTH INC","EQUITY","Health Care","Equity","174,285,958.08","0.22","174,285,958.08","5,405,892.00","32.24","United States","NASDAQ","USD","1.00","USD","-"
"NOVT","NOVANTA INC","EQUITY","Information Technology","Equity","173,267,256.22","0.22","173,267,256.22","1,092,893.00","158.54","United States","NASDAQ","USD","1.00","USD","-"
"ESNT","ESSENT GROUP LTD","EQUITY","Financials","Equity","172,294,990.88","0.22","172,294,990.88","3,258,226.00","52.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SON","SONOCO PRODUCTS","EQUITY","Materials","Equity","171,749,015.55","0.22","171,749,015.55","2,989,539.00","57.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DTM","DT MIDSTREAM INC","EQUITY","Energy","Equity","168,806,108.80","0.21","168,806,108.80","2,957,360.00","57.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FLS","FLOWSERVE CORP","EQUITY","Industrials","Equity","168,665,538.60","0.21","168,665,538.60","4,004,405.00","42.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PLNT","PLANET FITNESS INC CLASS A","EQUITY","Consumer Discretionary","Equity","166,123,633.87","0.21","166,123,633.87","2,607,497.00","63.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SNV","SYNOVUS FINANCIAL CORP","EQUITY","Financials","Equity","165,539,383.29","0.21","165,539,383.29","4,463,181.00","37.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WTS","WATTS WATER TECHNOLOGIES INC CLASS","EQUITY","Industrials","Equity","165,290,195.07","0.21","165,290,195.07","835,263.00","197.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CPRI","CAPRI HOLDINGS LTD","EQUITY","Consumer Discretionary","Equity","164,473,138.01","0.21","164,473,138.01","3,546,973.00","46.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"POST","POST HOLDINGS INC","EQUITY","Consumer Staples","Equity","164,190,021.84","0.21","164,190,021.84","1,550,718.00","105.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CIVI","CIVITAS RESOURCES INC","EQUITY","Energy","Equity","163,942,951.20","0.21","163,942,951.20","2,604,336.00","62.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HALO","HALOZYME THERAPEUTICS INC","EQUITY","Health Care","Equity","163,516,788.24","0.21","163,516,788.24","4,031,479.00","40.56","United States","NASDAQ","USD","1.00","USD","-"
"ESAB","ESAB CORP","EQUITY","Industrials","Equity","163,326,913.14","0.21","163,326,913.14","1,729,059.00","94.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MTG","MGIC INVESTMENT CORP","EQUITY","Financials","Equity","163,256,806.23","0.21","163,256,806.23","8,463,287.00","19.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"M","MACYS INC","EQUITY","Consumer Discretionary","Equity","162,844,948.50","0.20","162,844,948.50","8,351,023.00","19.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GTLS","CHART INDUSTRIES INC","EQUITY","Industrials","Equity","162,722,965.30","0.20","162,722,965.30","1,281,485.00","126.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMG","AFFILIATED MANAGERS GROUP INC","EQUITY","Financials","Equity","162,677,529.50","0.20","162,677,529.50","1,031,825.00","157.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ST","SENSATA TECHNOLOGIES HOLDING PLC","EQUITY","Industrials","Equity","161,811,767.02","0.20","161,811,767.02","4,619,234.00","35.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NXST","NEXSTAR MEDIA GROUP INC","EQUITY","Communication","Equity","161,029,219.05","0.20","161,029,219.05","983,745.00","163.69","United States","NASDAQ","USD","1.00","USD","-"
"TKR","TIMKEN","EQUITY","Industrials","Equity","159,938,027.48","0.20","159,938,027.48","1,980,902.00","80.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KEX","KIRBY CORP","EQUITY","Industrials","Equity","158,578,754.32","0.20","158,578,754.32","1,803,671.00","87.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AZPN","ASPEN TECHNOLOGY INC","EQUITY","Information Technology","Equity","157,181,872.40","0.20","157,181,872.40","855,365.00","183.76","United States","NASDAQ","USD","1.00","USD","-"
"TKO","TKO GROUP HOLDINGS INC CLASS A","EQUITY","Communication","Equity","157,128,836.25","0.20","157,128,836.25","1,831,125.00","85.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PBF","PBF ENERGY INC CLASS A","EQUITY","Energy","Equity","157,132,348.20","0.20","157,132,348.20","3,319,230.00","47.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMS","MAXIMUS INC","EQUITY","Industrials","Equity","156,120,250.56","0.20","156,120,250.56","1,855,041.00","84.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HR","HEALTHCARE REALTY TRUST INC CLASS","EQUITY","Real Estate","Equity","156,109,339.61","0.20","156,109,339.61","11,623,927.00","13.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ZI","ZOOMINFO TECHNOLOGIES INC","EQUITY","Communication","Equity","155,863,254.08","0.20","155,863,254.08","9,040,792.00","17.24","United States","NASDAQ","USD","1.00","USD","-"
"OLLI","OLLIES BARGAIN OUTLET HOLDINGS INC","EQUITY","Consumer Discretionary","Equity","155,641,092.62","0.20","155,641,092.62","1,882,907.00","82.66","United States","NASDAQ","USD","1.00","USD","-"
"UGI","UGI CORP","EQUITY","Utilities","Equity","154,457,803.36","0.19","154,457,803.36","6,393,121.00","24.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"R","RYDER SYSTEM INC","EQUITY","Industrials","Equity","154,308,828.96","0.19","154,308,828.96","1,352,637.00","114.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EXLS","EXLSERVICE HOLDINGS INC","EQUITY","Industrials","Equity","153,716,768.22","0.19","153,716,768.22","5,033,293.00","30.54","United States","NASDAQ","USD","1.00","USD","-"
"CRUS","CIRRUS LOGIC INC","EQUITY","Information Technology","Equity","151,252,037.64","0.19","151,252,037.64","1,644,759.00","91.96","United States","NASDAQ","USD","1.00","USD","-"
"KD","KYNDRYL HOLDINGS INC","EQUITY","Information Technology","Equity","150,835,939.38","0.19","150,835,939.38","7,002,597.00","21.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALTM","ARCADIUM LITHIUM PLC","EQUITY","Materials","Equity","150,156,136.52","0.19","150,156,136.52","31,217,492.00","4.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PII","POLARIS INC","EQUITY","Consumer Discretionary","Equity","149,970,342.75","0.19","149,970,342.75","1,620,075.00","92.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COTY","COTY INC CLASS A","EQUITY","Consumer Staples","Equity","149,710,166.70","0.19","149,710,166.70","11,428,257.00","13.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FYBR","FRONTIER COMMUNICATIONS PARENT INC","EQUITY","Communication","Equity","149,384,647.99","0.19","149,384,647.99","6,750,323.00","22.13","United States","NASDAQ","USD","1.00","USD","-"
"KBH","KB HOME","EQUITY","Consumer Discretionary","Equity","148,723,380.65","0.19","148,723,380.65","2,336,581.00","63.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"THG","HANOVER INSURANCE GROUP INC","EQUITY","Financials","Equity","147,942,728.20","0.19","147,942,728.20","1,091,345.00","135.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ASH","ASHLAND INC","EQUITY","Materials","Equity","147,208,797.40","0.18","147,208,797.40","1,563,556.00","94.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FNB","FNB CORP","EQUITY","Financials","Equity","146,525,691.24","0.18","146,525,691.24","10,951,098.00","13.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ONB","OLD NATIONAL BANCORP","EQUITY","Financials","Equity","146,460,708.40","0.18","146,460,708.40","8,930,531.00","16.40","United States","NASDAQ","USD","1.00","USD","-"
"DLB","DOLBY LABORATORIES INC CLASS A","EQUITY","Information Technology","Equity","145,387,904.24","0.18","145,387,904.24","1,817,576.00","79.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FNF","FIDELITY NATIONAL FINANCIAL INC","SWAP","Financials","Equity","144,681,009.12","0.18","144,681,009.12","2,890,152.00","50.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EEFT","EURONET WORLDWIDE INC","EQUITY","Financials","Equity","144,506,310.48","0.18","144,506,310.48","1,337,031.00","108.08","United States","NASDAQ","USD","1.00","USD","-"
"AA","ALCOA CORP","EQUITY","Materials","Equity","144,448,976.88","0.18","144,448,976.88","5,446,794.00","26.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MTSI","MACOM TECHNOLOGY SOLUTIONS INC","EQUITY","Information Technology","Equity","142,915,457.37","0.18","142,915,457.37","1,651,629.00","86.53","United States","NASDAQ","USD","1.00","USD","-"
"MSM","MSC INDUSTRIAL INC CLASS A","EQUITY","Industrials","Equity","142,630,588.80","0.18","142,630,588.80","1,414,986.00","100.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SRCL","STERICYCLE INC","EQUITY","Industrials","Equity","142,305,609.60","0.18","142,305,609.60","2,823,524.00","50.40","United States","NASDAQ","USD","1.00","USD","-"
"HOG","HARLEY DAVIDSON INC","EQUITY","Consumer Discretionary","Equity","142,132,389.00","0.18","142,132,389.00","3,867,548.00","36.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UBSI","UNITED BANKSHARES INC","EQUITY","Financials","Equity","141,358,430.98","0.18","141,358,430.98","4,106,869.00","34.42","United States","NASDAQ","USD","1.00","USD","-"
"KRG","KITE REALTY GROUP TRUST REIT","EQUITY","Real Estate","Equity","141,007,124.70","0.18","141,007,124.70","6,695,495.00","21.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CBT","CABOT CORP","EQUITY","Materials","Equity","140,074,783.80","0.18","140,074,783.80","1,685,820.00","83.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LPX","LOUISIANA PACIFIC CORP","EQUITY","Materials","Equity","140,042,109.07","0.18","140,042,109.07","1,958,357.00","71.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VMI","VALMONT INDS INC","EQUITY","Industrials","Equity","139,633,110.65","0.18","139,633,110.65","637,565.00","219.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RYN","RAYONIER REIT INC","EQUITY","Real Estate","Equity","139,186,874.76","0.17","139,186,874.76","4,163,532.00","33.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AIRC","APARTMENT INCOME REIT CORP","EQUITY","Real Estate","Equity","139,158,759.96","0.17","139,158,759.96","4,486,098.00","31.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IDA","IDACORP INC","EQUITY","Utilities","Equity","138,639,248.25","0.17","138,639,248.25","1,544,727.00","89.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ETRN","EQUITRANS MIDSTREAM CORP","EQUITY","Energy","Equity","138,565,512.00","0.17","138,565,512.00","13,221,900.00","10.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LNTH","LANTHEUS HOLDINGS INC","EQUITY","Health Care","Equity","138,504,763.89","0.17","138,504,763.89","2,090,007.00","66.27","United States","NASDAQ","USD","1.00","USD","-"
"ASGN","ASGN INC","EQUITY","Industrials","Equity","138,347,730.60","0.17","138,347,730.60","1,440,372.00","96.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NFG","NATIONAL FUEL GAS","EQUITY","Utilities","Equity","137,224,468.55","0.17","137,224,468.55","2,802,215.00","48.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GATX","GATX CORP","EQUITY","Industrials","Equity","137,205,458.28","0.17","137,205,458.28","1,083,258.00","126.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BYD","BOYD GAMING CORP","EQUITY","Consumer Discretionary","Equity","136,417,914.44","0.17","136,417,914.44","2,120,266.00","64.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AM","ANTERO MIDSTREAM CORP","EQUITY","Energy","Equity","136,360,961.92","0.17","136,360,961.92","10,393,366.00","13.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SLM","SLM CORP","EQUITY","Financials","Equity","135,811,495.33","0.17","135,811,495.33","6,904,499.00","19.67","United States","NASDAQ","USD","1.00","USD","-"
"OZK","BANK OZK","EQUITY","Financials","Equity","135,475,760.53","0.17","135,475,760.53","3,211,087.00","42.19","United States","NASDAQ","USD","1.00","USD","-"
"FLO","FLOWERS FOODS INC","EQUITY","Consumer Staples","Equity","134,962,415.66","0.17","134,962,415.66","5,862,833.00","23.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HOMB","HOME BANCSHARES INC","EQUITY","Financials","Equity","134,119,360.84","0.17","134,119,360.84","5,726,702.00","23.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WLK","WESTLAKE CORP","EQUITY","Materials","Equity","133,727,135.11","0.17","133,727,135.11","977,609.00","136.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CC","CHEMOURS","EQUITY","Materials","Equity","133,548,026.04","0.17","133,548,026.04","4,530,123.00","29.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NEU","NEWMARKET CORP","EQUITY","Materials","Equity","133,125,742.16","0.17","133,125,742.16","210,682.00","631.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PRGO","PERRIGO PLC","EQUITY","Health Care","Equity","132,951,309.60","0.17","132,951,309.60","4,135,344.00","32.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FCFS","FIRSTCASH HOLDINGS INC","EQUITY","Financials","Equity","132,646,710.96","0.17","132,646,710.96","1,128,524.00","117.54","United States","NASDAQ","USD","1.00","USD","-"
"MDU","MDU RESOURCES GROUP INC","EQUITY","Industrials","Equity","132,344,163.30","0.17","132,344,163.30","6,213,341.00","21.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MTZ","MASTEC INC","EQUITY","Industrials","Equity","130,794,984.11","0.16","130,794,984.11","1,844,521.00","70.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
