iShares Core S&P Mid-Cap ETF
Fund Holdings as of,"Feb 23, 2024"
Inception Date,"May 22, 2000"
Shares Outstanding,"1,394,600,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Type,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"OVV","OVINTIV INC","EQUITY","Energy","Equity","356,070,334.67","0.45","356,070,334.67","7,745,711.00","45.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"USFD","US FOODS HOLDING CORP","EQUITY","Consumer Staples","Equity","352,462,737.78","0.44","352,462,737.78","6,902,913.00","51.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RGA","REINSURANCE GROUP OF AMERICA INC","EQUITY","Financials","Equity","349,374,274.20","0.44","349,374,274.20","2,011,366.00","173.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IBKR","INTERACTIVE BROKERS GROUP INC CLAS","EQUITY","Financials","Equity","348,545,812.48","0.44","348,545,812.48","3,265,984.00","106.72","United States","NASDAQ","USD","1.00","USD","-"
"WMS","ADVANCED DRAINAGE SYSTEMS INC","EQUITY","Industrials","Equity","341,954,721.66","0.43","341,954,721.66","2,092,362.00","163.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KNSL","KINSALE CAPITAL GROUP INC","EQUITY","Financials","Equity","341,258,588.25","0.43","341,258,588.25","671,835.00","507.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RRX","REGAL REXNORD CORP","EQUITY","Industrials","Equity","341,139,114.75","0.43","341,139,114.75","2,024,925.00","168.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CASY","CASEYS GENERAL STORES INC","EQUITY","Consumer Staples","Equity","340,926,058.00","0.43","340,926,058.00","1,137,368.00","299.75","United States","NASDAQ","USD","1.00","USD","-"
"NVT","NVENT ELECTRIC PLC","EQUITY","Industrials","Equity","335,048,618.84","0.42","335,048,618.84","5,063,452.00","66.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"REXR","REXFORD INDUSTRIAL REALTY REIT INC","EQUITY","Real Estate","Equity","333,977,178.24","0.42","333,977,178.24","6,442,461.00","51.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FIVE","FIVE BELOW INC","EQUITY","Consumer Discretionary","Equity","328,804,199.70","0.41","328,804,199.70","1,699,510.00","193.47","United States","NASDAQ","USD","1.00","USD","-"
"SCI","SERVICE","EQUITY","Consumer Discretionary","Equity","327,582,191.90","0.41","327,582,191.90","4,509,046.00","72.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UTHR","UNITED THERAPEUTICS CORP","EQUITY","Health Care","Equity","325,189,144.86","0.41","325,189,144.86","1,432,362.00","227.03","United States","NASDAQ","USD","1.00","USD","-"
"DKS","DICKS SPORTING INC","EQUITY","Consumer Discretionary","Equity","323,838,958.93","0.41","323,838,958.93","1,875,479.00","172.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"X","US STEEL CORP","EQUITY","Materials","Equity","321,696,551.52","0.40","321,696,551.52","6,806,952.00","47.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LSCC","LATTICE SEMICONDUCTOR CORP","EQUITY","Information Technology","Equity","314,883,851.75","0.40","314,883,851.75","4,212,493.00","74.75","United States","NASDAQ","USD","1.00","USD","-"
"ITT","ITT INC","EQUITY","Industrials","Equity","314,881,014.06","0.40","314,881,014.06","2,505,618.00","125.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ELF","ELF BEAUTY INC","EQUITY","Consumer Staples","Equity","312,907,641.48","0.39","312,907,641.48","1,682,842.00","185.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CLF","CLEVELAND CLIFFS INC","EQUITY","Materials","Equity","311,547,333.60","0.39","311,547,333.60","15,407,880.00","20.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RGEN","REPLIGEN CORP","EQUITY","Health Care","Equity","311,419,544.92","0.39","311,419,544.92","1,584,671.00","196.52","United States","NASDAQ","USD","1.00","USD","-"
"EWBC","EAST WEST BANCORP INC","EQUITY","Financials","Equity","311,224,918.68","0.39","311,224,918.68","4,301,063.00","72.36","United States","NASDAQ","USD","1.00","USD","-"
"TREX","TREX INC","EQUITY","Industrials","Equity","310,907,541.06","0.39","310,907,541.06","3,314,226.00","93.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FBIN","FORTUNE BRANDS INNOVATIONS INC","EQUITY","Industrials","Equity","310,790,484.72","0.39","310,790,484.72","3,848,322.00","80.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WING","WINGSTOP INC","EQUITY","Consumer Discretionary","Equity","304,175,145.26","0.38","304,175,145.26","897,722.00","338.83","United States","NASDAQ","USD","1.00","USD","-"
"FIX","COMFORT SYSTEMS USA INC","EQUITY","Industrials","Equity","304,167,028.20","0.38","304,167,028.20","1,089,970.00","279.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TXRH","TEXAS ROADHOUSE INC","EQUITY","Consumer Discretionary","Equity","303,479,194.90","0.38","303,479,194.90","2,038,141.00","148.90","United States","NASDAQ","USD","1.00","USD","-"
"ALLY","ALLY FINANCIAL INC","EQUITY","Financials","Equity","299,997,641.19","0.38","299,997,641.19","8,284,939.00","36.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CUBE","CUBESMART REIT","EQUITY","Real Estate","Equity","297,903,729.60","0.37","297,903,729.60","6,862,560.00","43.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TTC","TORO","EQUITY","Industrials","Equity","295,404,207.93","0.37","295,404,207.93","3,169,233.00","93.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CG","CARLYLE GROUP INC","EQUITY","Financials","Equity","294,923,177.28","0.37","294,923,177.28","6,606,702.00","44.64","United States","NASDAQ","USD","1.00","USD","-"
"LAMR","LAMAR ADVERTISING COMPANY CLAS","EQUITY","Real Estate","Equity","294,222,154.24","0.37","294,222,154.24","2,672,803.00","110.08","United States","NASDAQ","USD","1.00","USD","-"
"SWAV","SHOCKWAVE MEDICAL INC","EQUITY","Health Care","Equity","293,712,055.61","0.37","293,712,055.61","1,126,067.00","260.83","United States","NASDAQ","USD","1.00","USD","-"
"BJ","BJS WHOLESALE CLUB HOLDINGS INC","EQUITY","Consumer Staples","Equity","292,347,387.02","0.37","292,347,387.02","4,081,354.00","71.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CELH","CELSIUS HOLDINGS INC","EQUITY","Consumer Staples","Equity","291,228,368.55","0.37","291,228,368.55","4,546,891.00","64.05","United States","NASDAQ","USD","1.00","USD","-"
"WEX","WEX INC","EQUITY","Financials","Equity","289,713,781.44","0.36","289,713,781.44","1,304,312.00","222.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NLY","ANNALY CAPITAL MANAGEMENT REIT INC","EQUITY","Financials","Equity","288,151,884.16","0.36","288,151,884.16","15,262,282.00","18.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TTEK","TETRA TECH INC","EQUITY","Industrials","Equity","287,869,281.45","0.36","287,869,281.45","1,625,003.00","177.15","United States","NASDAQ","USD","1.00","USD","-"
"THC","TENET HEALTHCARE CORP","EQUITY","Health Care","Equity","287,610,585.60","0.36","287,610,585.60","3,099,252.00","92.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KNX","KNIGHT-SWIFT TRANSPORTATION HOLDIN","EQUITY","Industrials","Equity","286,589,754.82","0.36","286,589,754.82","4,922,531.00","58.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MEDP","MEDPACE HOLDINGS INC","EQUITY","Health Care","Equity","285,871,752.36","0.36","285,871,752.36","711,708.00","401.67","United States","NASDAQ","USD","1.00","USD","-"
"ATR","APTARGROUP INC","EQUITY","Materials","Equity","283,792,781.04","0.36","283,792,781.04","2,007,589.00","141.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CLH","CLEAN HARBORS INC","EQUITY","Industrials","Equity","283,286,937.60","0.36","283,286,937.60","1,536,930.00","184.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CCK","CROWN HOLDINGS INC","EQUITY","Materials","Equity","283,220,439.96","0.36","283,220,439.96","3,682,013.00","76.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PEN","PENUMBRA INC","EQUITY","Health Care","Equity","280,777,691.59","0.35","280,777,691.59","1,177,907.00","238.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CW","CURTISS WRIGHT CORP","EQUITY","Industrials","Equity","278,919,732.23","0.35","278,919,732.23","1,167,077.00","238.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CHK","CHESAPEAKE ENERGY CORP","EQUITY","Energy","Equity","278,574,535.29","0.35","278,574,535.29","3,400,153.00","81.93","United States","NASDAQ","USD","1.00","USD","-"
"UNM","UNUM","EQUITY","Financials","Equity","277,424,344.62","0.35","277,424,344.62","5,595,489.00","49.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DINO","HF SINCLAIR CORP","EQUITY","Energy","Equity","276,305,205.21","0.35","276,305,205.21","4,777,887.00","57.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
