,Symbol
AAPL,AAPL
ACN,ACN
MSFT,MSFT
AXP,AXP
ADBE,ADBE
GOOG,GOOG
GOOGL,GOOGL
AMZN,AMZN
CRM,CRM
AVGO,AVGO
ORCL,ORCL
COF,COF
META,META
NFLX,NFLX
INTC,INTC
AMD,AMD
NVDA,NVDA
TSLA,TSLA
